,County Name,hispanic,his_total,black,black_total,white,white_total,asian,asian_total,State
27928,Blanco,1913,0.18172318799278048,101,0.00959437636553624,10157,0.9648522846015009,55,0.00522466039707419,TX
27939,Borden,105,0.16228748068006182,0,0.0,631,0.9752704791344667,1,0.0015455950540958269,TX
27950,Bosque,2953,0.1616399365044611,316,0.017297060594449614,17550,0.9606437133942745,65,0.0035579396792380534,TX
27961,Bowie,6158,0.06641286412217033,22664,0.2444269490849088,66621,0.7184948718225251,774,0.00834744346063005,TX
27972,Brazoria,87570,0.27844728357297754,38859,0.12356038588971491,250123,0.7953188296120117,17755,0.056455767041660575,TX
27983,Brazos,45882,0.23445907620609832,22003,0.1124363160664919,158826,0.8116079778019654,10346,0.05286852365695247,TX
27994,Brewster,3940,0.4236559139784946,142,0.015268817204301075,8810,0.9473118279569892,69,0.007419354838709678,TX
28005,Briscoe,387,0.23727774371551197,64,0.03923973022685469,1493,0.9153893316983446,9,0.005518087063151441,TX
28016,Brooks,6523,0.9058464102208027,74,0.010276350506874045,7012,0.9737536453270379,28,0.003888348840438828,TX
28027,Brown,7548,0.19787652379079826,1415,0.037095294271857385,35730,0.9366889500589854,188,0.0049285620658015466,TX
28038,Burleson,3215,0.18682084955546516,2084,0.12109942471962346,14748,0.8569934336684293,40,0.002324365157766285,TX
28049,Burnet,8746,0.20408829980865265,811,0.01892472114621739,40915,0.9547533485788958,225,0.005250385028235404,TX
28060,Caldwell,17998,0.4718806533651451,2698,0.07073752654623633,34042,0.8925303479195617,390,0.010225216958129047,TX
28071,Calhoun,9961,0.46633895131086145,577,0.02701310861423221,19448,0.9104868913857678,920,0.04307116104868914,TX
28082,Callahan,1051,0.0776218611521418,156,0.011521418020679469,13059,0.9644756277695716,58,0.004283604135893649,TX
28093,Cameron,359524,0.8810696623486107,2540,0.00622466634318007,398415,0.9763781264244438,2882,0.007062790709072819,TX
28104,Camp,2690,0.2165164198325821,2163,0.17409851899549258,9796,0.7884739214423696,83,0.006680618158403091,TX
28115,Carson,521,0.08450932684509327,66,0.01070559610705596,5939,0.9633414436334145,22,0.0035685320356853203,TX
28126,Cass,1128,0.03699937678354709,5340,0.17515662413487715,24535,0.804769245908092,102,0.003345688326171811,TX
28137,Castro,4829,0.5954377311960543,185,0.02281134401972873,7702,0.949691738594328,38,0.00468557336621455,TX
28148,Chambers,6720,0.19030896887655405,3018,0.08546911727223812,31060,0.8796125853133584,365,0.010336722267848545,TX
28159,Cherokee,10559,0.20735227696718575,7656,0.15034463798283684,41400,0.8129921646407321,269,0.005282485320974805,TX
28170,Childress,1899,0.2689801699716714,700,0.09915014164305949,6183,0.8757790368271955,46,0.006515580736543909,TX
28181,Clay,475,0.04427665920954511,86,0.00801640566741238,10343,0.9641126025354213,36,0.003355704697986577,TX
28192,Cochran,1646,0.5247051322919988,136,0.04335352247370099,2875,0.9164807140580172,12,0.003825310806503028,TX
28203,Coke,600,0.18050541516245489,51,0.015342960288808664,3179,0.9563778580024067,5,0.0015042117930204573,TX
28214,Coleman,1426,0.16036887089518667,201,0.02260458839406208,8436,0.9487179487179487,37,0.0041610436347278455,TX
28225,Collin,117029,0.14843729190633773,68724,0.08716817582796703,604990,0.7673574689215088,90240,0.11445864889581142,TX
28236,Collingsworth,913,0.29817112998040496,152,0.049640757674722404,2770,0.9046374918354017,18,0.005878510777269758,TX
28247,Colorado,5482,0.26232175327782564,2788,0.1334098956837975,17562,0.840367499282228,107,0.00512010718729065,TX
28258,Comal,27375,0.25026969702510465,1899,0.01736117459911137,104156,0.9522224863323033,920,0.008410890274451006,TX
28269,Comanche,3590,0.2567770545740648,96,0.006866461626493098,13610,0.9734639868392819,44,0.003147128245476003,TX
28280,Concho,2136,0.5239146431199412,125,0.0306597988717194,3822,0.9374540103016924,24,0.005886681383370125,TX
28291,Cooke,6084,0.1582232393633621,1121,0.029153230001040257,35923,0.9342296889628627,312,0.008114012275044212,TX
28302,Coryell,12105,0.16002379535990482,12545,0.1658404388921938,56843,0.7514442461497786,1549,0.020477229162535526,TX
28313,Cottle,319,0.21196013289036544,122,0.08106312292358804,1316,0.8744186046511628,7,0.004651162790697674,TX
28324,Crane,2397,0.5468856947296372,144,0.03285420944558522,4087,0.9324663472507415,33,0.007529089664613279,TX
28335,Crockett,2293,0.6178927512799784,72,0.019401778496362168,3517,0.9477229857181353,23,0.006197790353004581,TX
28346,Crosby,3161,0.5217032513616108,203,0.03350387852780987,5688,0.9387687737250371,20,0.003300874731803928,TX
28357,Culberson,1795,0.7469829379941739,55,0.022888056595921764,2225,0.9259259259259259,20,0.008322929671244279,TX
28368,Dallam,2728,0.40486791332739686,114,0.016918967052537846,6372,0.9456812110418522,49,0.007272187592757494,TX
28379,Dallas,913058,0.38406528947555496,541402,0.22773330484223828,1644817,0.691869648192463,124126,0.05221189466763637,TX
28390,Dawson,7407,0.5341458138025528,948,0.0683637412562198,12514,0.9024302300425471,85,0.006129660344703252,TX
28401,Deaf,13073,0.6722373630894225,311,0.015992183884403766,18616,0.9572684732863681,81,0.004165166863783617,TX
28412,Delta,320,0.06091757091185989,385,0.07329145250333143,4652,0.8855891871311632,30,0.0057110222729868645,TX
28423,Denton,122440,0.18355363067102615,57474,0.08616106966013196,543129,0.814221658548871,44981,0.06743242291092312,TX
28434,DeWitt,6522,0.3243807818561623,1950,0.0969859743360191,17708,0.8807321197652442,73,0.003630756987963792,TX
28445,Dickens,715,0.2914798206278027,130,0.05299633102323685,2231,0.9094985731757033,18,0.007337953526294333,TX
28456,Dimmit,8634,0.8599601593625498,113,0.011254980079681275,9725,0.9686254980079682,53,0.005278884462151395,TX
28467,Donley,330,0.08964955175224124,168,0.045639771801140996,3427,0.9309970116816083,13,0.0035316490084216245,TX
28478,Duval,10348,0.8815060908084164,158,0.013459408808246018,11403,0.9713774597495528,38,0.003237073004514865,TX
28489,Eastland,2705,0.1454144715621976,365,0.01962154607031502,17840,0.9590366627244382,66,0.0035480055907966884,TX
28500,Ector,72554,0.5290313172190018,6425,0.04684822632979693,125902,0.9180210725874075,1181,0.00861132378139925,TX
28511,Edwards,969,0.4862017059708981,53,0.026593075765178123,1834,0.9202207727044657,22,0.011038635223281485,TX
28522,Ellis,35596,0.2365780064069333,13864,0.0921428666374234,132230,0.8788265475668275,941,0.006254070795283859,TX
28533,El,662011,0.8230507572687105,27106,0.03369976303494302,749971,0.9324077688732846,9125,0.011344733184308089,TX
28544,Erath,7356,0.19384420786339202,491,0.012938758300832718,36264,0.9556234847686308,265,0.006983240223463687,TX
28555,Falls,3742,0.2092958219139773,4603,0.25745287767772246,12814,0.7167067509368533,72,0.004027070865260921,TX
28566,Fannin,3324,0.0980386373691196,2326,0.06860345081846335,30452,0.8981566140687214,139,0.004099690311163545,TX
28577,Fayette,4601,0.1875585993233052,1640,0.06685418450124332,22284,0.9084016142839673,90,0.003668827198238963,TX
28588,Fisher,976,0.2468386444107233,131,0.033131006575619626,3675,0.9294385432473444,24,0.006069802731411229,TX
28599,Floyd,3387,0.5273236805231201,202,0.03144947843686751,6031,0.9389693289739997,40,0.0062276194924490115,TX
28610,Foard,195,0.14541387024608501,65,0.048471290082028336,1263,0.941834451901566,4,0.002982848620432513,TX
28621,Fort,140885,0.23864656559667993,129230,0.21890403997628524,343610,0.5820445498433133,102728,0.1740120267637842,TX
28632,Franklin,1376,0.129640097983795,415,0.03909930280761259,9890,0.9317882042585265,57,0.005370265686828717,TX
28643,Freestone,2718,0.13705814129393373,3248,0.16378397458524532,15981,0.8058595128838687,99,0.004992183954414805,TX
28654,Frio,13376,0.7765908035299582,662,0.03843474222015792,15910,0.923711100789596,389,0.022584765443567117,TX
28665,Gaines,6451,0.36665908832556554,326,0.01852904399227009,16843,0.9573149937478685,55,0.0031260657042173467,TX
28676,Galveston,66009,0.2255892716168786,41231,0.14090913751208958,234723,0.8021783484332227,9054,0.030942527007214456,TX
