,state,county,candidate,party,votes,won,total_votes,percent,State
367,Illinois,Sangamon County,Donald Trump,REP,53303,True,104395,0.5105895876239284,IL
368,Illinois,Schuyler County,Donald Trump,REP,2767,True,3908,0.7080348004094166,IL
369,Illinois,Scott County,Donald Trump,REP,2104,True,2730,0.7706959706959707,IL
370,Illinois,Shelby County,Donald Trump,REP,9396,True,12049,0.7798157523445929,IL
371,Illinois,Stark County,Donald Trump,REP,2000,True,2881,0.6942034015966678,IL
372,Illinois,Stephenson County,Donald Trump,REP,12253,True,21446,0.5713419751935093,IL
373,Illinois,Tazewell County,Donald Trump,REP,42194,True,68358,0.6172503584072091,IL
374,Illinois,Union County,Donald Trump,REP,6157,True,8896,0.6921088129496403,IL
375,Illinois,Vermilion County,Donald Trump,REP,20710,True,31617,0.6550273586994338,IL
376,Illinois,Wabash County,Donald Trump,REP,4228,True,5592,0.7560801144492132,IL
377,Illinois,Warren County,Donald Trump,REP,4671,True,7916,0.5900707427993936,IL
378,Illinois,Washington County,Donald Trump,REP,6110,True,7914,0.7720495324740966,IL
379,Illinois,Wayne County,Donald Trump,REP,7172,True,8492,0.844559585492228,IL
380,Illinois,White County,Donald Trump,REP,5788,True,7428,0.7792137856758212,IL
381,Illinois,Whiteside County,Donald Trump,REP,14472,True,27254,0.5310046231745799,IL
382,Illinois,Will County,Donald Trump,REP,154351,False,344431,0.4481332981061519,IL
383,Illinois,Williamson County,Donald Trump,REP,22681,True,33503,0.676984150673074,IL
384,Illinois,Winnebago County,Donald Trump,REP,58796,False,121982,0.4820055418012494,IL
385,Illinois,Woodford County,Donald Trump,REP,14590,True,21079,0.6921580720148015,IL
386,Illinois,Cook Suburbs,Donald Trump,REP,367511,False,1135209,0.3237386243414208,IL
387,Indiana,Adams County,Donald Trump,REP,10685,True,14238,0.750456524792808,IN
388,Indiana,Allen County,Donald Trump,REP,92083,True,169000,0.5448698224852071,IN
389,Indiana,Bartholomew County,Donald Trump,REP,22409,True,36299,0.6173448304361002,IN
390,Indiana,Benton County,Donald Trump,REP,3007,True,4115,0.7307411907654922,IN
391,Indiana,Blackford County,Donald Trump,REP,3838,True,5354,0.7168472170339932,IN
392,Indiana,Boone County,Donald Trump,REP,22351,True,38500,0.5805454545454546,IN
393,Indiana,Brown County,Donald Trump,REP,5777,True,8981,0.643246854470549,IN
394,Indiana,Carroll County,Donald Trump,REP,7086,True,9514,0.7447971410552869,IN
395,Indiana,Cass County,Donald Trump,REP,10552,True,15189,0.6947132793468958,IN
396,Indiana,Clark County,Donald Trump,REP,33656,True,58040,0.5798759476223294,IN
397,Indiana,Clay County,Donald Trump,REP,9498,True,12277,0.7736417691618473,IN
398,Indiana,Clinton County,Donald Trump,REP,9334,True,12961,0.720160481444333,IN
399,Indiana,Crawford County,Donald Trump,REP,3499,True,4975,0.7033165829145729,IN
400,Indiana,Daviess County,Donald Trump,REP,9576,True,11971,0.7999331718319271,IN
401,Indiana,Dearborn County,Donald Trump,REP,19528,True,25361,0.7700011829186546,IN
402,Indiana,Decatur County,Donald Trump,REP,9570,True,12296,0.7783018867924528,IN
403,Indiana,DeKalb County,Donald Trump,REP,14237,True,19656,0.7243080993080994,IN
404,Indiana,Delaware County,Donald Trump,REP,26827,True,48191,0.5566807080160195,IN
405,Indiana,Dubois County,Donald Trump,REP,15032,True,21805,0.6893831689979363,IN
406,Indiana,Elkhart County,Donald Trump,REP,46972,True,74321,0.6320151774061167,IN
407,Indiana,Fayette County,Donald Trump,REP,7755,True,10146,0.764340626848019,IN
408,Indiana,Floyd County,Donald Trump,REP,23400,True,41761,0.5603314096884653,IN
409,Indiana,Fountain County,Donald Trump,REP,6154,True,7983,0.770888137291745,IN
410,Indiana,Franklin County,Donald Trump,REP,9691,True,12018,0.8063737726743219,IN
411,Indiana,Fulton County,Donald Trump,REP,6694,True,9144,0.7320647419072616,IN
412,Indiana,Gibson County,Donald Trump,REP,11817,True,16165,0.731023816888339,IN
413,Indiana,Grant County,Donald Trump,REP,18543,True,27230,0.6809768637532133,IN
414,Indiana,Greene County,Donald Trump,REP,11103,True,14782,0.7511162224326884,IN
415,Indiana,Hamilton County,Donald Trump,REP,101587,True,193871,0.5239927580710885,IN
416,Indiana,Hancock County,Donald Trump,REP,28996,True,42907,0.6757871675950311,IN
417,Indiana,Harrison County,Donald Trump,REP,14565,True,20231,0.7199347535959666,IN
418,Indiana,Hendricks County,Donald Trump,REP,53802,True,88458,0.6082208505731533,IN
419,Indiana,Henry County,Donald Trump,REP,15043,True,21021,0.7156177156177156,IN
420,Indiana,Howard County,Donald Trump,REP,26400,True,40619,0.6499421453014599,IN
421,Indiana,Huntington County,Donald Trump,REP,13147,True,17810,0.738180797304885,IN
422,Indiana,Jackson County,Donald Trump,REP,14555,True,19238,0.7565755276016218,IN
423,Indiana,Jasper County,Donald Trump,REP,11383,True,15495,0.734624072281381,IN
424,Indiana,Jay County,Donald Trump,REP,6361,True,8466,0.7513583746751713,IN
425,Indiana,Jefferson County,Donald Trump,REP,9659,True,14725,0.6559592529711376,IN
426,Indiana,Jennings County,Donald Trump,REP,9490,True,12251,0.774630642396539,IN
427,Indiana,Johnson County,Donald Trump,REP,51209,True,77784,0.6583487606705749,IN
428,Indiana,Knox County,Donald Trump,REP,11654,True,16027,0.7271479378548699,IN
429,Indiana,Kosciusko County,Donald Trump,REP,26476,True,35846,0.7386040283434693,IN
430,Indiana,LaGrange County,Donald Trump,REP,8110,True,10633,0.7627198344775699,IN
