,County Name,State,month0.0_x,month1.0_x,month2.0_x,month3.0_x,month4.0_x,month5.0_x,month6.0_x,month7.0_x,month8.0_x,month9.0_x,month0.0_y,month1.0_y,month2.0_y,month3.0_y,month4.0_y,month5.0_y,month6.0_y,month7.0_y,month8.0_y,month9.0_y,population
70,Aleutians West Census Area,AK,0,0,0,0,0,0,4,5,5,7,0,0,0,0,0,0,0,0,0,0,5634
71,Municipality of Anchorage,AK,0,0,73,187,247,457,1769,3001,4414,7907,0,0,2,4,4,6,12,21,35,49,288000
72,Bethel Census Area,AK,0,0,0,1,3,6,20,59,114,438,0,0,0,0,0,0,0,0,0,1,18386
73,Bristol Bay Borough,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836
74,Denali Borough,AK,0,0,0,0,0,0,1,1,7,27,0,0,0,0,0,0,0,0,0,0,2097
75,Dillingham Census Area,AK,0,0,0,0,0,0,1,5,9,38,0,0,0,0,0,0,0,0,0,0,4916
76,Fairbanks North Star Borough,AK,0,0,42,83,85,147,403,640,1138,2150,0,0,0,2,2,2,5,8,11,15,96849
77,Haines Borough,AK,0,0,0,0,0,2,4,4,5,7,0,0,0,0,0,0,0,0,0,0,2530
78,Hoonah-Angoon Census Area,AK,0,0,0,0,0,0,7,18,24,31,0,0,0,0,0,0,0,0,0,0,2148
79,City and Borough of Juneau,AK,0,0,11,27,33,44,87,175,294,476,0,0,0,0,0,0,1,1,1,3,31974
80,Kenai Peninsula Borough,AK,0,0,10,22,54,151,300,410,454,872,0,0,0,1,2,2,2,2,3,4,58708
81,Ketchikan Gateway Borough,AK,0,0,14,16,16,21,35,46,50,64,0,0,0,0,0,0,0,0,0,0,13901
82,Kodiak Island Borough,AK,0,0,0,1,1,3,6,14,24,68,0,0,0,0,0,0,0,0,0,0,12998
83,Kusilvak Census Area,AK,0,0,0,0,0,0,4,8,14,224,0,0,0,0,0,0,0,0,0,0,8314
84,Lake and Peninsula Borough,AK,0,0,0,0,0,0,6,10,28,44,0,0,0,0,0,0,0,0,0,0,1592
85,Matanuska-Susitna Borough,AK,0,0,4,21,29,88,287,472,624,1407,0,0,0,1,1,1,2,2,2,3,108317
86,Nome Census Area,AK,0,0,0,1,3,5,17,41,73,129,0,0,0,0,0,0,0,0,0,0,10004
87,North Slope Borough,AK,0,0,0,0,1,4,13,39,132,257,0,0,0,0,0,0,0,0,0,0,9832
88,Northwest Arctic Borough,AK,0,0,0,0,2,4,28,66,118,239,0,0,0,0,0,0,0,0,0,0,7621
89,Petersburg Census Area,AK,0,0,1,4,4,4,6,7,7,14,0,0,0,1,1,1,1,1,1,1,3266
90,Prince of Wales-Hyder Census Area,AK,0,0,0,2,2,2,5,25,31,34,0,0,0,0,0,0,0,0,0,1,6203
91,Sitka City and Borough,AK,0,0,0,1,2,11,22,38,53,63,0,0,0,0,0,0,0,0,0,0,8493
92,Skagway Municipality,AK,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1183
93,Southeast Fairbanks Census Area,AK,0,0,1,1,3,3,14,18,28,71,0,0,0,0,0,0,0,0,0,1,6893
94,Valdez-Cordova Census Area,AK,0,0,0,0,0,0,45,73,77,120,0,0,0,0,0,0,0,0,0,1,9202
95,Wade Hampton Census Area,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Wrangell City and Borough,AK,0,0,0,0,0,3,5,11,13,13,0,0,0,0,0,0,0,0,0,0,2502
97,Yakutat City and Borough,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579
98,Yukon-Koyukuk Census Area,AK,0,0,1,1,1,2,45,71,81,116,0,0,0,0,0,0,1,1,2,2,5230
99,Statewide Unallocated,AZ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
100,Apache County,AZ,0,0,17,526,1569,2405,3054,3338,3554,3992,0,0,0,6,41,90,135,154,165,170,71887
101,Cochise County,AZ,0,0,5,39,89,678,1523,1816,1911,2193,0,0,0,0,4,12,49,60,72,75,125922
102,Coconino County,AZ,0,0,126,527,1173,1986,2964,3324,4166,5301,0,0,10,44,81,94,115,125,144,149,143476
103,Gila County,AZ,0,0,2,14,35,314,822,1106,1346,1965,0,0,0,0,0,6,29,47,56,70,54018
104,Graham County,AZ,0,0,2,18,37,117,478,714,851,1224,0,0,0,0,0,2,9,22,25,28,38837
105,Greenlee County,AZ,0,0,1,2,8,18,55,58,59,101,0,0,0,0,0,1,2,2,2,2,9498
106,La Paz County,AZ,0,0,2,14,91,346,472,498,544,624,0,0,0,0,0,5,10,15,15,17,21108
107,Maricopa County,AZ,1,1,1049,4585,10536,54757,119295,133728,141856,157728,0,0,17,168,448,817,2089,2961,3392,3577,4485414
108,Mohave County,AZ,0,0,9,135,409,1248,2990,3615,4004,4395,0,0,0,15,46,87,153,206,226,231,212181
