Areaname,LND110210D
"Adams, IL",855.2
"Alexander, IL",235.51
"Bond, IL",380.28
"Boone, IL",280.72
"Brown, IL",305.61
"Bureau, IL",869.03
"Calhoun, IL",253.83
"Carroll, IL",444.81
"Cass, IL",375.82
"Champaign, IL",996.27
"Christian, IL",709.38
"Clark, IL",501.42
"Clay, IL",468.32
"Clinton, IL",474.09
"Coles, IL",508.29
"Cook, IL",945.33
"Crawford, IL",443.63
"Cumberland, IL",346.02
"DeKalb, IL",631.31
"De Witt, IL",397.51
"Douglas, IL",416.67
"DuPage, IL",327.5
"Edgar, IL",623.37
"Edwards, IL",222.42
"Effingham, IL",478.78
"Fayette, IL",716.48
"Ford, IL",485.62
"Franklin, IL",408.89
"Fulton, IL",865.6
"Gallatin, IL",323.07
"Greene, IL",543.02
"Grundy, IL",418.04
"Hamilton, IL",434.67
"Hancock, IL",793.73
"Hardin, IL",177.53
"Henderson, IL",378.87
"Henry, IL",822.99
"Iroquois, IL",1117.32
"Jackson, IL",584.08
"Jasper, IL",494.51
"Jefferson, IL",571.17
"Jersey, IL",369.27
"Jo Daviess, IL",601.09
"Johnson, IL",343.92
"Kane, IL",520.06
"Kankakee, IL",676.56
"Kendall, IL",320.34
"Knox, IL",716.4
"Lake, IL",443.67
"LaSalle, IL",1135.12
"Lawrence, IL",372.18
"Lee, IL",724.9
"Livingston, IL",1044.29
"Logan, IL",618.06
"McDonough, IL",589.41
"McHenry, IL",603.17
"McLean, IL",1183.38
"Macon, IL",580.69
"Macoupin, IL",862.91
"Madison, IL",715.58
"Marion, IL",572.36
"Marshall, IL",386.79
"Mason, IL",539.24
"Massac, IL",237.22
"Menard, IL",314.44
"Mercer, IL",561.2
"Monroe, IL",385.01
"Montgomery, IL",703.69
"Morgan, IL",568.79
"Moultrie, IL",335.94
"Ogle, IL",758.57
"Peoria, IL",619.21
"Perry, IL",441.76
"Piatt, IL",439.2
"Pike, IL",831.38
"Pope, IL",368.77
"Pulaski, IL",199.19
"Putnam, IL",160.16
"Randolph, IL",575.5
"Richland, IL",359.99
"Rock Island, IL",427.64
"St. Clair, IL",657.76
"Saline, IL",379.82
"Sangamon, IL",868.3
"Schuyler, IL",437.27
"Scott, IL",250.91
"Shelby, IL",758.52
"Stark, IL",288.08
"Stephenson, IL",564.52
"Tazewell, IL",648.97
"Union, IL",413.46
"Vermilion, IL",898.37
"Wabash, IL",223.25
"Warren, IL",542.41
"Washington, IL",562.57
"Wayne, IL",713.81
"White, IL",494.77
"Whiteside, IL",684.25
"Will, IL",836.91
"Williamson, IL",420.15
"Winnebago, IL",513.36
"Woodford, IL",527.8
INDIANA,35826.11
"Adams, IN",339.03
"Allen, IN",657.31
"Bartholomew, IN",406.91
"Benton, IN",406.42
"Blackford, IN",165.08
"Boone, IN",422.91
"Brown, IN",311.98
"Carroll, IN",372.22
"Cass, IN",412.16
"Clark, IN",372.86
"Clay, IN",357.54
"Clinton, IN",405.07
"Crawford, IN",305.64
"Daviess, IN",429.49
"Dearborn, IN",305.03
"Decatur, IN",372.57
"DeKalb, IN",362.82
"Delaware, IN",392.12
"Dubois, IN",427.27
"Elkhart, IN",463.17
"Fayette, IN",215.01
"Floyd, IN",147.94
"Fountain, IN",395.66
"Franklin, IN",384.43
"Fulton, IN",368.39
"Gibson, IN",487.49
"Grant, IN",414.07
"Greene, IN",542.5
"Hamilton, IN",394.27
"Hancock, IN",306.02
"Harrison, IN",484.52
"Hendricks, IN",406.91
"Henry, IN",391.88
"Howard, IN",293.06
"Huntington, IN",382.65
"Jackson, IN",509.31
"Jasper, IN",559.63
"Jay, IN",383.91
"Jefferson, IN",360.63
"Jennings, IN",376.58
"Johnson, IN",320.43
"Knox, IN",516.03
"Kosciusko, IN",531.38
"LaGrange, IN",379.62
"Lake, IN",498.96
"LaPorte, IN",598.3
"Lawrence, IN",449.17
"Madison, IN",451.92
"Marion, IN",396.3
"Marshall, IN",443.63
"Martin, IN",335.74
"Miami, IN",373.84
"Monroe, IN",394.51
"Montgomery, IN",504.61
"Morgan, IN",403.97
"Newton, IN",401.76
"Noble, IN",410.84
